Название,Цена,Страна,SKU,Score,Status
15 128 Midnight,45600,,iphone15black128,100,OK
15 128 Pink,47300,,iphone15pink128,100,OK
15 128 Blue,44400,,iphone15blue128,100,OK
15 128 Yellow,45500,,iphone15yellow128,100,OK
15 256 Midnight,52900,,iphone15black256,100,OK
15 256 Pink,58500,,iphone15pink256,100,OK
15 256 Blue,52600,,iphone15blue256,100,OK
15 512 Green esim,56000,US,iphone15green512eSIM,100,OK
15 512 Yellow esim,56000,US,iphone15yellow512eSIM,100,OK
15 Plus 128 Green,51200,,iphone15plusgreen128,100,OK
15 Plus 128 Pink,50100,,iphone15pluspink128,100,OK
15 Plus 128 Blue,50100,,iphone15plusblue128,100,OK
15 Plus 128 Yellow,50100,,iphone15plusyellow128,100,OK
15 Plus 512 Yellow,57200,,iphone15plusyellow512,100,OK
15 Pro 128 White esim,65400,US,iphone15prowhite128-esim,100,OK
15 Pro 128 Blue esim,65400,US,iphone15problue128eSIM,100,OK
15 Pro 128 Blue,70700,AE,iphone15problue128,100,OK
15 Pro 128 Natural esim,65400,US,iphone15protitanium128eSIM,100,OK
15 Pro 512 Blue esim,84400,US,iphone15problue512eSIM,100,OK
15 Pro 512 Blue,87000,,iphone15problue512,100,OK
15 Pro Max 256 Natural,80200,,iphone15promaxtitanium256,100,OK
15 Pro Max 512 Natural,91400,AE,iphone15promaxtitanium512,100,OK
15 Pro Max 1TB Natural,100000,,iphone15promaxtitanium1tb,100,OK
